country,fertilityRate,GenderGap
Niger,6.9,0.635
Mali,5.9,0.621
DR Congo,5.9,0.578
Chad,5.7,0.596
Angola,5.5,0.660
Burundi,5.4,0.745
Nigeria,5.4,0.635
Gambia,5.2,0.628
Burkina Faso,5.2,0.635
Uganda,5,0.717
Mozambique,4.9,0.723
Benin,4.8,0.658
Guinea,4.7,0.642
Mauritania,4.6,0.614
Senegal,4.6,0.684
Zambia,4.6,0.731
Cameroon,4.6,0.686
Republic of the Congo,4.4,0.578
Liberia,4.3,0.685
Sierra Leone,4.3,0.668
Togo,4.3,0.615
Malawi,4.2,0.664
Ethiopia,4.2,0.705
Madagascar,4.1,0.719
Timor-Leste,4,0.662
Rwanda,4,0.791
Ghana,3.9,0.673
Vanuatu,3.8,0.638
Yemen,3.8,0.494
Iraq,3.7,0.530
Papua New Guinea,3.6,0.635
Tajikistan,3.6,0.626
Zimbabwe,3.6,0.730
Kenya,3.5,0.671
Pakistan,3.5,0.564
Namibia,3.4,0.784
Kyrgyzstan,3.3,0.689
Egypt,3.3,0.629
Lesotho,3.1,0.695
Israel,3.1,0.718
Eswatini,3,0.703
Algeria,3,0.634
Botswana,2.9,0.709
Mongolia,2.9,0.706
Oman,2.9,0.602
Guatemala,2.9,0.666
Fiji,2.8,0.678
Jordan,2.8,0.623
Syria,2.8,0.567
Kazakhstan,2.8,0.710
Bolivia,2.7,0.734
Philippines,2.6,0.781
Panama,2.5,0.730
Honduras,2.5,0.722
Cambodia,2.5,0.694
Suriname,2.4,0.707
Paraguay,2.4,0.683
Ecuador,2.4,0.729
Morocco,2.4,0.605
South Africa,2.4,0.780
Belize,2.3,0.671
Dominican Republic,2.3,0.700
Venezuela,2.3,0.713
Peru,2.3,0.714
Saudi Arabia,2.3,0.599
Argentina,2.3,0.746
Indonesia,2.3,0.700
Tunisia,2.2,0.644
Sri Lanka,2.2,0.680
Myanmar,2.2,0.665
India,2.2,0.668
Georgia,2.1,0.708
Kuwait,2.1,0.650
Lebanon,2.1,0.599
Iran,2.1,0.584
Turkey,2.1,0.635
Mexico,2.1,0.754
Bhutan,2,0.635
Bahrain,2,0.629
Jamaica,2,0.735
Uruguay,2,0.737
New Zealand,2,0.799
El Salvador,2,0.706
Malaysia,2,0.677
Bangladesh,2,0.726
Dominica,1.9,0.700
Maldives,1.9,0.646
Nepal,1.9,0.680'
France,1.9,0.781
Bahamas,1.8,0.720
Brunei,1.8,0.686
Armenia,1.8,0.684
Ireland,1.8,0.798
Costa Rica,1.8,0.782
Sweden,1.8,0.820
Romania,1.8,0.724
Colombia,1.8,0.758
Iceland,1.7,0.877
Montenegro,1.7,0.710
Estonia,1.7,0.751
Trinidad and Tobago,1.7,0.756
Denmark,1.7,0.782
Nicaragua,1.7,0.804
Azerbaijan,1.7,0.687
Czech Republic,1.7,0.706
Australia,1.7,0.731
United Kingdom,1.7,0.767
Brazil,1.7,0.691
United States,1.7,0.724
China,1.7,0.676
Barbados,1.6,0.749
Latvia,1.6,0.785
Slovenia,1.6,0.743
Lithuania,1.6,0.745
Albania,1.6,0.769
Norway,1.6,0.842
Bulgaria,1.6,0.727
Hungary,1.6,0.677
Cuba,1.6,0.746
Belgium,1.6,0.750
Netherlands,1.6,0.736
Chile,1.6,0.723
Germany,1.6,0.787
Russia,1.6,0.706
North Macedonia,1.5,0.711
Croatia,1.5,0.720
Slovakia,1.5,0.718
Serbia,1.5,0.736
Switzerland,1.5,0.779
Austria,1.5,0.744
Poland,1.5,0.736
Canada,1.5,0.772
Thailand,1.5,0.708
Luxembourg,1.4,0.725
Mauritius,1.4,0.665
Finland,1.4,0.832
Belarus,1.4,0.746
United Arab Emirates,1.4,0.655
Portugal,1.4,0.744
Greece,1.4,0.701
Japan,1.4,0.652
Cyprus,1.3,0.692
Bosnia and Herzegovina,1.3,0.712
Moldova,1.3,0.757
Ukraine,1.3,0.721
Spain,1.3,0.795
Italy,1.3,0.707
Malta,1.2,0.693
Singapore,1.1,0.724
South Korea,1,0.672
